time_hourly,generation_biomass,generation_fossil_brown_coal/lignite,generation_fossil_coal-derived_gas,generation_fossil_gas,generation_fossil_hard_coal,generation_fossil_oil,generation_fossil_oil_shale,generation_fossil_peat,generation_geothermal,generation_hydro_pumped_storage_consumption,generation_hydro_run-of-river_and_poundage,generation_hydro_water_reservoir,generation_marine,generation_nuclear,generation_other,generation_other_renewable,generation_solar,generation_waste,generation_wind_offshore,generation_wind_onshore,total_load_actual,price_actual
2015-01-01 00:00:00,447,329,0,4844,4821,162,0,0,0,863,1051,1899,0,7096,43,73,49,196,0,6378,25385,65.41
2015-01-01 01:00:00,449,328,0,5196,4755,158,0,0,0,920,1009,1658,0,7096,43,71,50,195,0,5890,24382,64.92
2015-01-01 02:00:00,448,323,0,4857,4581,157,0,0,0,1164,973,1371,0,7099,43,73,50,196,0,5461,22734,64.48
2015-01-01 03:00:00,438,254,0,4314,4131,160,0,0,0,1503,949,779,0,7098,43,75,50,191,0,5238,21286,59.32
2015-01-01 04:00:00,428,187,0,4130,3840,156,0,0,0,1826,953,720,0,7097,43,74,42,189,0,4935,20264,56.04
2015-01-01 05:00:00,410,178,0,4038,3590,156,0,0,0,2109,952,743,0,7098,43,74,34,188,0,4618,19905,53.63
2015-01-01 06:00:00,401,172,0,4040,3368,158,0,0,0,2108,961,848,0,7098,43,74,34,186,0,4397,20010,51.73
2015-01-01 07:00:00,408,172,0,4030,3208,160,0,0,0,2031,983,1012,0,7099,43,72,35,189,0,3992,20377,51.43
2015-01-01 08:00:00,413,177,0,4052,3335,161,0,0,0,2119,1001,1015,0,7098,43,73,54,198,0,3629,20094,48.98
2015-01-01 09:00:00,419,177,0,4137,3437,163,0,0,0,2170,1041,1357,0,7097,43,74,743,198,0,3073,20637,54.2
2015-01-01 10:00:00,422,173,0,4059,3516,167,0,0,0,2020,1041,1817,0,7096,43,72,2019,204,0,2683,22250,58.94
2015-01-01 11:00:00,421,226,0,3931,3845,166,0,0,0,1183,1069,1516,0,7097,42,73,3197,206,0,2771,23547,59.86
2015-01-01 12:00:00,428,303,0,3784,4220,167,0,0,0,972,1052,1204,0,7097,41,75,3885,209,0,2906,24133,60.12
2015-01-01 13:00:00,425,288,0,3754,4404,167,0,0,0,922,1041,1286,0,7099,40,74,4007,210,0,2923,24713,62.05
2015-01-01 14:00:00,423,260,0,3779,4256,166,0,0,0,941,1028,1027,0,7097,40,76,3973,210,0,2945,24672,62.06
2015-01-01 15:00:00,421,183,0,3708,4038,160,0,0,0,1069,1023,1151,0,7096,40,76,3818,210,0,2709,23528,59.76
2015-01-01 16:00:00,422,256,0,3813,4191,163,0,0,0,970,1032,1156,0,7095,41,75,3088,211,0,2552,23118,61.18
2015-01-01 17:00:00,426,322,0,3967,4707,165,0,0,0,798,1036,1626,0,7095,41,75,1467,208,0,2699,23606,64.74
2015-01-01 18:00:00,427,282,0,4756,4756,164,0,0,0,1,1094,3203,0,7096,42,74,404,209,0,2764,26447,74.26
2015-01-01 19:00:00,442,303,0,4410,4918,147,0,0,0,1,1153,5333,0,7096,42,76,139,208,0,2913,28020,74.24
2015-01-01 20:00:00,445,318,0,4324,5025,154,0,0,0,0,1214,6183,0,7096,43,74,100,210,0,3118,29014,75.64
2015-01-01 21:00:00,443,325,0,4684,5043,154,0,0,0,0,1220,6231,0,7096,43,74,75,212,0,3373,29571,73.92
2015-01-01 22:00:00,440,322,0,4870,4990,154,0,0,0,0,1178,5359,0,7098,43,74,74,210,0,3508,29031,70.53
2015-01-01 23:00:00,438,320,0,4685,4942,160,0,0,0,0,1095,3511,0,7098,43,74,56,209,0,3527,26798,64.13
2015-01-02 00:00:00,368,0,0,3189,1291,193,0,0,0,1290,1268,3871,0,7106,45,62,54,169,0,13232,27070,64.02
